age;marital;address;income;inccat;car;carcat;ed;employ;retire;empcat;jobsat;gender;reside;wireless;multline;voice;pager;internet;callid;callwait;owntv;ownvcr;owncd;ownpda;ownpc;ownfax;news;response
42;Non marrié(e);5;33;$25 - $49;16,4;Standard;Bac +2;0;Non;Moins de 2;Très insatisfait;Femme;1;Oui;Oui;Oui;Non;Aucun;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non
46;Non marrié(e);0;35;$25 - $49;17,6;Standard;Bac +3/4;6;Non;2 à 5;Insatistait;Femme;1;Oui;Non;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
28;Marrié(e);9;25;$25 - $49;11,9;Economique;Bac +5 et +;1;Non;Moins de 2;Neutre;Femme;6;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
40;Non marrié(e);16;36;$25 - $49;17,9;Standard;Bac +2;3;Non;Moins de 2;Insatistait;Femme;1;Oui;Non;Non;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
47;Marrié(e);23;35;$25 - $49;17,5;Standard;Niveau Bac;2;Non;Moins de 2;Satisfait;Homme;4;Non;Oui;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
25;Marrié(e);1;28;$25 - $49;13,6;Economique;Niveau Bac;5;Non;2 à 5;Insatistait;Femme;4;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
30;Non marrié(e);9;21;Inf à $25;10,1;Economique;Bac +5 et +;1;Non;Moins de 2;Insatistait;Homme;1;Oui;Oui;Oui;Non;Dial-up;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
57;Non marrié(e);20;148;$75 - $124;72,8;Luxe;Bac +5 et +;16;Non;6 à 10;Satisfait;Femme;1;Oui;Non;Non;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
23;Marrié(e);0;36;$25 - $49;18;Standard;Bac +3/4;0;Non;Moins de 2;Insatistait;Homme;6;Oui;Oui;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
23;Non marrié(e);0;13;Inf à $25;6,4;Economique;Bac +2;1;Non;Moins de 2;Satisfait;Homme;1;Oui;Oui;Non;Non;Dial-up;Non;Non;Oui;Oui;Non;Oui;Oui;Non;Oui;Non
38;Marrié(e);0;34;$25 - $49;16,8;Standard;Bac +3/4;11;Non;2 à 5;Neutre;Femme;4;Oui;Oui;Oui;Oui;Aucun;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non
37;Non marrié(e);8;39;$25 - $49;19,8;Standard;Niveau Bac;5;Non;2 à 5;Insatistait;Homme;1;Non;Non;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
47;Non marrié(e);7;19;Inf à $25;9,5;Economique;Inf au Bac;2;Non;Moins de 2;Très insatisfait;Femme;1;Oui;Non;Oui;Oui;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
20;Marrié(e);0;37;$25 - $49;18,5;Standard;Bac +2;0;Non;Moins de 2;Très insatisfait;Femme;4;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
19;Marrié(e);0;14;Inf à $25;7,2;Economique;Inf au Bac;0;Non;Moins de 2;Très insatisfait;Homme;3;Non;Non;Non;Non;Aucun;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non
26;Non marrié(e);2;22;Inf à $25;10,7;Economique;Inf au Bac;7;Non;2 à 5;Neutre;Homme;1;Non;Non;Non;Non;Aucun;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non
25;Non marrié(e);1;95;$75 - $124;46,1;Luxe;Bac +3/4;2;Non;Moins de 2;Très insatisfait;Femme;1;Non;Non;Non;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
39;Non marrié(e);19;31;$25 - $49;15,6;Standard;Bac +3/4;15;Non;6 à 10;Satisfait;Homme;1;Non;Oui;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
31;Marrié(e);5;26;$25 - $49;13;Economique;Bac +5 et +;2;Non;Moins de 2;Insatistait;Femme;3;Oui;Oui;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
37;Non marrié(e);13;31;$25 - $49;15,4;Standard;Inf au Bac;5;Non;2 à 5;Satisfait;Homme;1;Non;Oui;Oui;Oui;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
44;Marrié(e);19;24;Inf à $25;12,2;Economique;Bac +5 et +;12;Non;2 à 5;Insatistait;Homme;5;Oui;Non;Oui;Oui;Aucun;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non
43;Non marrié(e);6;73;$50 - $74;37;Luxe;Bac +2;19;Non;6 à 10;Satisfait;Femme;1;Non;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
50;Non marrié(e);31;35;$25 - $49;17,4;Standard;Inf au Bac;11;Non;2 à 5;Neutre;Homme;1;Non;Oui;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Non
45;Non marrié(e);23;16;Inf à $25;7,9;Economique;Inf au Bac;1;Non;Moins de 2;Très insatisfait;Homme;1;Oui;Non;Oui;Non;Dial-up;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non
62;Marrié(e);10;99;$75 - $124;46,8;Luxe;Bac +2;33;Non;6 à 10;Très satisfait;Homme;2;Oui;Oui;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
51;Marrié(e);14;36;$25 - $49;18,3;Standard;Niveau Bac;4;Non;Moins de 2;Très satisfait;Homme;2;Oui;Non;Non;Non;Dial-up;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
34;Non marrié(e);14;66;$50 - $74;32;Luxe;Niveau Bac;14;Non;2 à 5;Satisfait;Homme;1;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
47;Non marrié(e);7;121;$75 - $124;59,7;Luxe;Niveau Bac;22;Non;6 à 10;Insatistait;Femme;3;Non;Non;Non;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
49;Marrié(e);7;66;$50 - $74;32,6;Luxe;Bac +3/4;13;Non;2 à 5;Neutre;Femme;4;Oui;Oui;Oui;Oui;Dial-up;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
40;Non marrié(e);16;61;$50 - $74;30,5;Luxe;Inf au Bac;17;Non;6 à 10;Satisfait;Femme;1;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
37;Marrié(e);9;88;$75 - $124;43,1;Luxe;Bac +2;6;Non;2 à 5;Neutre;Femme;5;Oui;Oui;Oui;Oui;Dial-up;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
32;Marrié(e);6;30;$25 - $49;15,1;Standard;Bac +2;0;Non;Moins de 2;Très insatisfait;Homme;3;Oui;Non;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
57;Marrié(e);2;19;Inf à $25;9,5;Economique;Inf au Bac;25;Oui;6 à 10;Très insatisfait;Homme;2;Non;Non;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
26;Non marrié(e);6;16;Inf à $25;7,9;Economique;Inf au Bac;5;Non;2 à 5;Satisfait;Femme;1;Non;Non;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
36;Non marrié(e);0;37;$25 - $49;18,5;Standard;Bac +2;0;Non;Moins de 2;Très insatisfait;Homme;1;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
29;Marrié(e);8;93;$75 - $124;46,9;Luxe;Bac +3/4;0;Non;Moins de 2;Très insatisfait;Femme;4;Non;Oui;Oui;Oui;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
22;Marrié(e);1;35;$25 - $49;17,5;Standard;Bac +3/4;0;Non;Moins de 2;Très insatisfait;Femme;2;Oui;Oui;Non;Non;Dial-up;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
28;Marrié(e);3;15;Inf à $25;7,4;Economique;Bac +2;0;Non;Moins de 2;Très insatisfait;Homme;5;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
44;Non marrié(e);15;46;$25 - $49;22,1;Standard;Niveau Bac;11;Non;2 à 5;Insatistait;Homme;1;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non
21;Marrié(e);1;14;Inf à $25;7;Economique;Inf au Bac;2;Non;Moins de 2;Neutre;Homme;5;Oui;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Oui;Non
39;Non marrié(e);16;28;$25 - $49;14,1;Economique;Niveau Bac;7;Non;2 à 5;Neutre;Femme;2;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
43;Marrié(e);15;22;Inf à $25;11,1;Economique;Niveau Bac;4;Non;Moins de 2;Satisfait;Homme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
30;Marrié(e);6;39;$25 - $49;19,4;Standard;Bac +3/4;6;Non;2 à 5;Neutre;Homme;4;Oui;Oui;Non;Non;Dial-up;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
35;Marrié(e);3;21;Inf à $25;10,1;Economique;Inf au Bac;6;Non;2 à 5;Très insatisfait;Femme;5;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
54;Marrié(e);9;236;$75 - $124;76,9;Luxe;Bac +2;25;Non;6 à 10;Satisfait;Homme;2;Oui;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
48;Marrié(e);25;173;$75 - $124;86,2;Luxe;Bac +3/4;22;Non;6 à 10;Satisfait;Homme;2;Oui;Oui;Non;Oui;Dial-up;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non
30;Non marrié(e);3;46;$25 - $49;22,2;Standard;Bac +3/4;0;Non;Moins de 2;Insatistait;Homme;1;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
34;Non marrié(e);1;62;$50 - $74;30,7;Luxe;Niveau Bac;9;Non;2 à 5;Très satisfait;Femme;4;Non;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
58;Marrié(e);30;125;$75 - $124;61,9;Luxe;Inf au Bac;34;Non;6 à 10;Satisfait;Femme;2;Non;Non;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
62;Non marrié(e);13;35;$25 - $49;17,4;Standard;Inf au Bac;14;Non;2 à 5;Insatistait;Homme;1;Oui;Oui;Non;Oui;;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non
39;Non marrié(e);2;49;$25 - $49;24,7;Standard;Inf au Bac;18;Non;6 à 10;Très satisfait;Homme;2;Non;Non;Oui;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
60;Marrié(e);3;109;$75 - $124;53,9;Luxe;Inf au Bac;28;Non;6 à 10;Satisfait;Homme;2;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
64;Non marrié(e);43;106;$75 - $124;53,1;Luxe;Niveau Bac;22;Non;6 à 10;Très satisfait;Femme;1;Non;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
43;Marrié(e);8;52;$50 - $74;25,4;Standard;Bac +3/4;14;Non;2 à 5;Satisfait;Homme;2;Non;Non;Oui;Non;Dial-up;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
42;Marrié(e);17;23;Inf à $25;11,2;Economique;Inf au Bac;0;Non;Moins de 2;Insatistait;Femme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non
19;Non marrié(e);0;34;$25 - $49;17,1;Standard;Niveau Bac;0;Non;Moins de 2;Insatistait;Homme;2;Non;Non;Non;Oui;Aucun;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;Oui;Non
37;Marrié(e);10;29;$25 - $49;14,7;Economique;Bac +2;5;Non;2 à 5;Neutre;Femme;3;Oui;Oui;Oui;Non;Dial-up;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
57;Marrié(e);32;25;$25 - $49;12,9;Economique;Inf au Bac;10;Non;2 à 5;Satisfait;Homme;2;Oui;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non
57;Marrié(e);8;21;Inf à $25;10,7;Economique;Inf au Bac;3;Non;Moins de 2;Satisfait;Homme;3;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Oui
23;Marrié(e);2;18;Inf à $25;9;Economique;Inf au Bac;3;Non;Moins de 2;Satisfait;Homme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
39;Non marrié(e);9;53;$50 - $74;24,6;Standard;Niveau Bac;7;Non;2 à 5;Neutre;Femme;1;Oui;Non;Non;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
35;Non marrié(e);13;34;$25 - $49;17,2;Standard;Niveau Bac;6;Non;2 à 5;Neutre;Femme;1;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
34;Marrié(e);6;54;$50 - $74;25,9;Standard;Bac +3/4;7;Non;2 à 5;Satisfait;Femme;3;Oui;Oui;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
46;Non marrié(e);15;174;$75 - $124;87,5;Luxe;Inf au Bac;28;Non;6 à 10;Très satisfait;Femme;1;Non;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
48;Marrié(e);8;139;$75 - $124;69,5;Luxe;Niveau Bac;28;Non;6 à 10;Très satisfait;Homme;2;Non;Oui;Oui;Oui;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
37;Non marrié(e);0;32;$25 - $49;16,1;Standard;Inf au Bac;11;Non;2 à 5;Insatistait;Femme;1;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non
28;Non marrié(e);5;32;$25 - $49;15,5;Standard;Inf au Bac;12;Non;2 à 5;Neutre;Homme;1;Non;Non;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
26;Marrié(e);1;17;Inf à $25;8,5;Economique;Bac +3/4;1;Non;Moins de 2;Très insatisfait;Femme;3;Oui;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
62;Marrié(e);3;81;$75 - $124;41,2;Luxe;Bac +2;23;Oui;6 à 10;Très satisfait;Homme;2;Non;Non;Oui;Non;;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
63;Marrié(e);23;94;$75 - $124;46,4;Luxe;Niveau Bac;38;Non;6 à 10;Très satisfait;Homme;3;Oui;Oui;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui
32;Marrié(e);6;29;$25 - $49;14,1;Economique;Inf au Bac;5;Non;2 à 5;Satisfait;Homme;5;Non;Oui;Oui;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
49;Non marrié(e);19;170;$75 - $124;85,3;Luxe;Niveau Bac;12;Non;2 à 5;Neutre;Homme;1;Non;Oui;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Oui
49;Marrié(e);10;23;Inf à $25;10,7;Economique;Inf au Bac;3;Non;Moins de 2;Insatistait;Homme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Oui
22;Non marrié(e);1;26;$25 - $49;13;Economique;Bac +2;1;Non;Moins de 2;Très insatisfait;Femme;1;Oui;Oui;Oui;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
53;Marrié(e);12;77;$75 - $124;38,9;Luxe;Inf au Bac;24;Non;6 à 10;Neutre;Homme;2;Non;Non;Non;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
34;Marrié(e);9;107;$75 - $124;52,6;Luxe;Niveau Bac;11;Non;2 à 5;Très satisfait;Femme;4;Oui;Non;Oui;Non;Dial-up;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non
52;Marrié(e);0;184;$75 - $124;91,5;Luxe;Bac +2;25;Non;6 à 10;Très satisfait;Femme;2;Oui;Non;Oui;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
43;Non marrié(e);23;18;Inf à $25;9;Economique;Bac +3/4;3;Non;Moins de 2;Neutre;Femme;1;Oui;Oui;Non;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Non
40;Marrié(e);20;31;$25 - $49;15,4;Standard;Inf au Bac;4;Non;Moins de 2;Neutre;Homme;2;Oui;Non;Oui;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
52;Non marrié(e);19;23;Inf à $25;11,2;Economique;Niveau Bac;2;Non;Moins de 2;Très insatisfait;Homme;1;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
56;Non marrié(e);36;128;$75 - $124;63,8;Luxe;Bac +2;25;Non;6 à 10;Neutre;Homme;1;Non;Non;Non;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
48;Marrié(e);17;96;$75 - $124;46,2;Luxe;Niveau Bac;23;Non;6 à 10;Satisfait;Femme;4;Non;Oui;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Non;Oui;Oui;Non
38;Non marrié(e);7;21;Inf à $25;10,8;Economique;Niveau Bac;5;Non;2 à 5;Neutre;Homme;1;Oui;Oui;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui
34;Marrié(e);0;38;$25 - $49;18,7;Standard;Bac +3/4;0;Non;Moins de 2;Neutre;Femme;4;Non;Non;Non;Non;Dial-up;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
46;Marrié(e);2;60;$50 - $74;28,8;Standard;Niveau Bac;8;Non;2 à 5;Insatistait;Homme;2;Oui;Non;Non;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
60;Non marrié(e);22;34;$25 - $49;16,7;Standard;Bac +2;2;Non;Moins de 2;Neutre;Homme;1;Oui;Non;Non;Non;Dial-up;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Non
31;Non marrié(e);4;32;$25 - $49;16,3;Standard;Niveau Bac;5;Non;2 à 5;Très insatisfait;Homme;1;Oui;Oui;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
30;Marrié(e);9;34;$25 - $49;17;Standard;Niveau Bac;9;Non;2 à 5;Très satisfait;Homme;3;Non;Oui;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
41;Non marrié(e);17;67;$50 - $74;33,1;Luxe;Inf au Bac;16;Non;6 à 10;Très satisfait;Femme;3;Oui;Oui;Non;Non;Dial-up;Non;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non
49;Marrié(e);25;47;$25 - $49;23,5;Standard;Niveau Bac;0;Non;Moins de 2;Satisfait;Femme;3;Non;Non;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
27;Marrié(e);3;34;$25 - $49;16,5;Standard;Niveau Bac;7;Non;2 à 5;Neutre;Femme;6;Oui;Oui;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
25;Marrié(e);5;25;$25 - $49;12,4;Economique;Bac +2;0;Non;Moins de 2;Très insatisfait;Femme;3;Oui;Oui;Oui;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui
28;Marrié(e);2;42;$25 - $49;21,4;Standard;Inf au Bac;11;Non;2 à 5;Satisfait;Homme;4;Non;Non;Non;Non;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
30;Non marrié(e);0;63;$50 - $74;31,8;Luxe;Bac +3/4;6;Non;2 à 5;Insatistait;Homme;1;Non;Non;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
26;Marrié(e);0;19;Inf à $25;9,5;Economique;Bac +3/4;1;Non;Moins de 2;Insatistait;Homme;5;Non;Non;Non;Oui;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
32;Non marrié(e);13;46;$25 - $49;22,5;Standard;Inf au Bac;11;Non;2 à 5;Insatistait;Femme;1;Oui;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Non
38;Non marrié(e);13;71;$50 - $74;35,2;Luxe;Bac +5 et +;3;Non;Moins de 2;Neutre;Femme;1;Oui;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
30;Marrié(e);3;21;Inf à $25;10,6;Economique;Niveau Bac;2;Non;Moins de 2;Très insatisfait;Homme;4;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
50;Marrié(e);7;157;$75 - $124;77,8;Luxe;Bac +3/4;18;Non;6 à 10;Très satisfait;Homme;2;Oui;Oui;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Non
44;Non marrié(e);25;132;$75 - $124;65,2;Luxe;Niveau Bac;15;Non;6 à 10;Neutre;Homme;2;Oui;Oui;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
38;Non marrié(e);13;30;$25 - $49;14,7;Economique;Inf au Bac;8;Non;2 à 5;Très satisfait;Homme;1;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
44;Non marrié(e);7;33;$25 - $49;16,3;Standard;Niveau Bac;0;Non;Moins de 2;Très insatisfait;Femme;1;Oui;Non;Non;Non;Dial-up;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Non
28;Marrié(e);5;29;$25 - $49;13,8;Economique;Bac +3/4;3;Non;Moins de 2;Insatistait;Homme;4;Non;Non;Non;Oui;Aucun;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
33;Non marrié(e);6;80;$75 - $124;39,5;Luxe;Bac +2;7;Non;2 à 5;Satisfait;Femme;1;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
30;Marrié(e);2;25;$25 - $49;12,6;Economique;Bac +3/4;5;Non;2 à 5;Insatistait;Femme;2;Oui;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
26;Marrié(e);1;28;$25 - $49;14;Economique;Niveau Bac;4;Non;Moins de 2;Neutre;Homme;3;Oui;Oui;Non;Non;Dial-up;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Non
37;Non marrié(e);4;30;$25 - $49;15;Standard;Bac +2;0;Non;Moins de 2;Insatistait;Femme;3;Non;Non;Non;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Non
39;Marrié(e);14;26;$25 - $49;12,7;Economique;Inf au Bac;5;Non;2 à 5;Insatistait;Homme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non
31;Marrié(e);4;26;$25 - $49;13,3;Economique;Niveau Bac;2;Non;Moins de 2;Insatistait;Femme;7;Oui;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Oui
50;Marrié(e);7;65;$50 - $74;32,1;Luxe;Bac +3/4;19;Non;6 à 10;Satisfait;Homme;2;Non;Non;Oui;Oui;Aucun;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non
29;Marrié(e);0;24;Inf à $25;11,5;Economique;Bac +3/4;5;Non;2 à 5;Insatistait;Homme;4;Oui;Oui;Oui;Non;Dial-up;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
39;Marrié(e);7;34;$25 - $49;17;Standard;Bac +5 et +;3;Non;Moins de 2;Neutre;Femme;4;Oui;Oui;Oui;Oui;;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
39;Marrié(e);19;47;$25 - $49;22,6;Standard;Niveau Bac;17;Non;6 à 10;Insatistait;Homme;2;Oui;Non;Oui;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
53;Marrié(e);16;26;$25 - $49;12,9;Economique;Niveau Bac;2;Non;Moins de 2;Insatistait;Femme;3;Oui;Non;Oui;Non;Dial-up;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Non
71;Marrié(e);30;32;$25 - $49;16;Standard;Inf au Bac;20;Oui;6 à 10;Très satisfait;Femme;2;Non;Oui;Oui;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
60;Non marrié(e);27;61;$50 - $74;30,9;Luxe;Bac +5 et +;6;Non;2 à 5;Insatistait;Femme;2;Oui;Oui;Non;Non;Dial-up;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non
42;Marrié(e);8;79;$75 - $124;39,5;Luxe;Inf au Bac;13;Non;2 à 5;Satisfait;Femme;2;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non
36;Non marrié(e);7;95;$75 - $124;46,8;Luxe;Bac +3/4;2;Non;Moins de 2;Neutre;Homme;2;Oui;Oui;Non;Non;Aucun;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non
48;Marrié(e);10;77;$75 - $124;37,5;Luxe;Niveau Bac;8;Non;2 à 5;Insatistait;Homme;4;Non;Non;Non;Non;Aucun;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non
42;Non marrié(e);8;56;$50 - $74;27,8;Standard;Niveau Bac;10;Non;2 à 5;Satisfait;Homme;1;Non;Non;Oui;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui
59;Non marrié(e);31;34;$25 - $49;16,8;Standard;Inf au Bac;8;Non;2 à 5;Insatistait;Femme;1;Non;Non;Non;Non;Aucun;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non
